"Qual é sua profissão? (Obs. ""XXX"" seria qualquer profissão ou atividade fora a tradução.)",Você trabalha com a tradução há quanto tempo?,A tradução é sua principal fonte de renda?,"Se tem outra/s fonte/s de renda, qual é (ou quais são)? (Pode marcar mais de uma opção.)",Qual é seu nível de escolaridade?,Você já fez algum curso de tradução em âmbito universitário? (Pode marcar mais de uma opção.) Obs.: Não inclua cursos de interpretação.,Já fez algum curso de tradução fora do ambiente universitário?,Já fez algum curso de versão (tradução do português para outro idioma) ou aulas de versão como parte de um curso de tradução?,Participa de alguma associação ou sindicato de tradutores? (Pode marcar mais de uma opção.),"Participa de algum grupo de tradutores nas redes sociais (por exemplo, grupo fechado do Facebook)?","Participa de algum grupo que agrega colegas de tradução (por exemplo, grupo no WhatsApp)?",Você é... (Pode marcar mais de uma opção.),Quais são suas fontes de trabalho de tradução? (Pode marcar mais de uma opção.),Qual é sua língua nativa (língua A / língua 1)?,Qual é sua segunda língua mais forte?,Você faz versão (tradução do português para outro idioma)?,Você traduz para o inglês com que frequência?,"Quando recebe um texto em português para traduzir para o inglês, quais das frases a seguir se aplicam? (Pode marcar mais de uma opção.)",Que tipos de texto traduz para o inglês? (Pode marcar mais de uma opção.),Você conta com a revisão de outra pessoa quando traduz para o inglês?,"Se trabalha com revisor(a), essa(s) pessoa(s)... (Pode marcar mais de uma opção.) Obs. Entende-se que pode trabalhar com mais de um/a revisor/a.","Você concorda com a seguinte frase: ""A tradução feita para a língua nativa é melhor que a tradução feita para a língua estrangeira""?","Você concorda com a seguinte frase: ""A tradução para L2 pode ser feita por qualquer tradutor""?","Se tivesse mais oferta de formação em versão (tradução do português para outro idioma) no Brasil, você teria interesse em fazer? (Pode marcar mais de uma opção.)",Você usa algum software de tradução? (Pode escolher mais de uma opção.),Você usa ou já usou a tradução automática para preparar suas traduções e versões? (Pode escolher mais de uma opção.),Em quais circunstâncias você usa ou já usou a tradução automática? (Pode marcar mais de uma opção.),Qual é seu gênero?,Qual é sua faixa etária?,Qual é sua cor de pele / raca?,Em que país você mora?
"""Sou XXX e tradutor/a"".",mais de 20 anos,Não,Serviço público,Ensino médio,Não fiz.,Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a sem CNPJ.,Cliente direto,português,inglês,Faço versão somente para o inglês.,Menos da metade do tempo,"Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado.","setor cultural, acadêmicos - humanas e artes, audiovisual (legendagem, dublagem), literário",Raramente ou nunca,,Concorda plenamente.,"Depende (nem concordo, nem discordo).","Sim, se o curso fosse presencial (depois da pandemia).",Não uso.,Não.,Nunca usei,feminino,66 ou mais,branca,Brasil
"""Sou tradutor/a"".",de 10 a 15 anos,Sim,"Ensino de línguas, Ensino de tradução e/ou interpretação, Revisão e/ou copydesque, Interpretação",Mestrado,"Sim, fiz mestrado em tradução ou letras com ênfase em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,"tradutor/a autônomo/a sem CNPJ., funcionário/a de uma empresa ou agência de tradução.","Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior",inglês,português,Faço versão para o inglês e para outro(s) idioma(s).,Aproximadamente metade do tempo,Aceito sempre ou quase sempre.,"jurídicos, setor cultural, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Aproximadamente metade do tempo,é nativa do inglês mas não conhece (bem) o português.,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução., Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução., Sim, se o curso fosse apenas prático (sem conteúdo teórico).",Memosource ,"Sim, Google Tradutor., Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",masculino,26 a 35 anos,branca,Eua 🇺🇸 
"""Sou tradutor/a e XXX"".",mais de 20 anos,Sim,"Ensino de línguas, Ensino de tradução e/ou interpretação",Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Não,ABRATES,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Agência de tradução brasileira, Agência de tradução do exterior, Plataforma online de tradução (p.ex. ProZ)",português,espanhol,Faço versão para o inglês e para outro(s) idioma(s).,Sempre ou quase sempre,Aceito sempre ou quase sempre.,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, setor cultural, informática e telecomunicações, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,é brasileira que tem experiência na tradução para o inglês.,Discordo totalmente.,Concordo plenamente.,"Sim, se o curso fosse online (mesmo depois da pandemia).","Sim, SDL Trados, Sim, MemoQ","Sim, Google Tradutor., Sim, DeepL.",Uso para certos tipos de texto.,feminino,36 a 45 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 3 a 5 anos,Sim,Revisão e/ou copydesque,Ensino superior.,Não fiz.,Sim,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira",português,inglês,Faço versão somente para o inglês.,Aproximadamente metade do tempo,Aceito sempre ou quase sempre.,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, setor cultural, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Sempre ou quase sempre,trabalha na mesma empresa/agência que você.,"Depende (nem concordo, nem discordo)",Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.), Sim, se o curso fosse apenas prático (sem conteúdo teórico).","Sim, SDL Trados","Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",feminino,36 a 45 anos,branca,Polônia
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,,Ensino superior.,"Sim, fiz bacharelado em letras com discplina(s) de tradução.",Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,funcionário/a de uma empresa ou agência de tradução.,Empresa onde sou funcionário/a,português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a).,"jurídicos, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.), audiovisual (legendagem, dublagem)",Raramente ou nunca,trabalha na mesma empresa/agência que você.,Concordo parcialmente,Concordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.",Smartcat e matecat,"Sim, Google Tradutor., Sim, DeepL.",Uso para checar trechos que tive dificuldade de entender.,feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 3 a 5 anos,Sim,Interpretação,Pós-graduação lato sensu (especialização),Não fiz.,Sim,Não,APIC,Não,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira",português,inglês,Faço versão para o inglês e para outro(s) idioma(s).,Sempre ou quase sempre,Aceito sempre ou quase sempre.,todos,Sempre ou quase sempre,"é contratada por você (ou seja, você paga do próprio bolso).",Concorda plenamente.,"Depende (nem concordo, nem discordo).","Sim, se o curso não fosse muito caro., Sim, se o curso fosse apenas prático (sem conteúdo teórico).","Sim, SDL Trados, Sim,  OmegaT, TRANSIT","Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para checar trechos que tive dificuldade de entender.",masculino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,,Ensino superior.,"Sim, fiz bacharelado em tradução.",Não,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,funcionário/a de uma empresa não especializada em tradução.,Empresa onde sou funcionário/a,português,inglês,Faço versão para o inglês e para outro(s) idioma(s).,Sempre ou quase sempre,Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a).,"corporativos / business, jurídicos",Mais da metade do tempo,"trabalha na mesma empresa/agência que você., é brasileira que tem experiência na tradução para o inglês.","Depende (nem concordo, nem discordo)",Discordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim,  OmegaT","Sim, Google Tradutor., Sim, DeepL.","Uso/Já usei ao traduzir para a língua nativa., Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto., Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",masculino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",de 15 a 20 anos,Sim,"Ensino de línguas, Interpretação",Pós-graduação lato sensu (especialização),"Sim, fiz bacharelado em tradução., Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Não,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior",português,inglês,Faço versão para o inglês e para outro(s) idioma(s).,Sempre ou quase sempre,Aceito sempre ou quase sempre.,todos,Raramente ou nunca,trabalha na mesma empresa/agência que você.,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).",Não tenho interesse em fazer curso de versão.,"Sim, SDL Trados, Sim, Wordfast, Sim, MemoQ","Sim, Google Tradutor.","Uso para certos tipos de texto., Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",feminino,36 a 45 anos,parda,Brasil
"""Sou tradutor/a e XXX"".",de 1 a 3 anos,Sim,"Serviços de Marketing Digital, Ilustração",Ensino superior.,Não fiz.,Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,Agência de tradução do exterior,português,inglês,Não faço versão.,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, SDL Trados, Sim, MemoQ","Sim, Google Tradutor., Sim, DeepL.",Uso/Já usei ao traduzir para a língua nativa.,masculino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 3 a 5 anos,Não,Ensino de línguas,Pós-graduação lato sensu (especialização),"Sim, fiz bacharelado em letras com discplina(s) de tradução., Sim, fiz especialização (pós-graduação lato sensu) em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,ABRATES,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Agência de tradução do exterior, Plataforma online de tradução (p.ex. ProZ)",português,inglês,Faço versão somente para o inglês.,Raramente,"Aceito se é uma área que já conheço., Aceito se o prazo estiver folgado.","acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,,Concorda plenamente.,Discordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, SDL Trados, Sim, Wordfast, Sim,  OmegaT, Smartcat, Matecat, Memsource",Não.,,feminino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a"".",de 10 a 15 anos,Sim,Interpretação,Ensino superior.,Não fiz.,Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Agência de tradução do exterior, Plataforma online de tradução (p.ex. ProZ), Grupo do Facebook ou similar",português,inglês,Faço versão para o inglês e para outro(s) idioma(s).,Raramente,"Aceito sempre ou quase sempre., Aceito porque gosto de fazer a tradução para o inglês.",todos,Sempre ou quase sempre,trabalha na mesma empresa/agência que você.,Concorda plenamente.,Discordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, SDL Trados, Sim, MemoQ, Idiom, Memsource, Passolo, etc.","Não., Sim, DeepL.","Uso/Já usei ao traduzir para a língua estrangeira., Uso para certos tipos de texto.",masculino,36 a 45 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 10 a 15 anos,Não,Revisão e/ou copydesque,Ensino superior.,"Sim, fiz bacharelado em letras com discplina(s) de tradução.",Não,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,"tradutor/a autônomo/a sem CNPJ., Revisora de textos com CNPJ (MEI)",Cliente direto,português,inglês,Faço versão somente para o inglês.,Raramente,Aceito se o prazo estiver folgado.,acadêmicos - humanas e artes,Sempre ou quase sempre,é brasileira que tem experiência na tradução para o inglês.,Concordo parcialmente,Concordo parcialmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.",Não uso.,"Sim, Google Tradutor.",Uso para certos tipos de texto.,feminino,36 a 45 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 1 a 3 anos,Não,Redação e edição de texto,Pós-graduação lato sensu (especialização),Não fiz.,Sim,Não,ABRATES,Não,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Agência de tradução brasileira",português,espanhol,Não faço versão.,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse voltado para área(s) específica(s) (p.ex. versão de textos empresariais; versão de textos acadêmicos, etc.)","Sim, SDL Trados","Sim, Google Tradutor.","Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 15 a 20 anos,Não,Ensino de línguas,Mestrado,"Sim, fiz bacharelado em letras com discplina(s) de tradução.",Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a com CNPJ.,Cliente direto,português,espanhol,Não faço versão.,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia).",Não uso.,Não.,Uso para checar trechos que tive dificuldade de entender.,feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,,Ensino superior.,"Sim, fiz bacharelado em tradução.",Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,"tradutor/a autônomo/a com CNPJ., funcionário/a de uma empresa ou agência de tradução.","Agência de tradução brasileira, Grupo do Facebook ou similar, Empresa onde sou funcionário/a",português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito porque gosto de fazer a tradução para o inglês., Aceito porque paga melhor que a tradução para o português.","audiovisual (legendagem, dublagem)",Raramente ou nunca,,Discordo parcialmente.,Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia).",Subtitle Edit e EZ Titles,Não.,,feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,,Ensino superior.,Não fiz.,Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Não,Sim,funcionário/a de uma empresa não especializada em tradução.,Empresa onde sou funcionário/a,português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito sempre ou quase sempre., Aceito se o prazo estiver folgado., Aceito porque faz parte do meu trabalho (como empregado/a ou tradutor/a juramentado/a).",conteúdo redes sociais e plataformas digitais,Raramente ou nunca,,Concorda plenamente.,Discordo parcialmente.,"Sim, se o curso não fosse muito caro.",Não uso.,"Sim, Google Tradutor.",Uso para certos tipos de texto.,feminino,até 25 anos,parda,Brasil
"""Sou tradutor/a e XXX"".",de 3 a 5 anos,Sim,"Revisão e/ou copydesque, Escrita",Pós-graduação lato sensu (especialização),Não fiz.,Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Agência de tradução brasileira, Agência de tradução do exterior, Plataforma online de tradução (p.ex. ProZ), Grupo do Facebook ou similar, Editora",português,russo,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso não fosse muito caro., sim, se os professores fossem nativos e com formação no idioma de destino","Sim,  OmegaT","Sim, Google Tradutor., Yandex Translate","Uso/Já usei ao traduzir para a língua estrangeira., Uso para checar trechos que tive dificuldade de entender., Como dicionário, procurando palavras ou expressões específicas (uso principal)",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 5 a 10 anos,Sim,"Revisão e/ou copydesque, Interpretação",Mestrado,Não fiz.,Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Editora",português,inglês,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso fosse apenas prático (sem conteúdo teórico)., Não tenho interesse em fazer curso de versão.",Não uso.,"Sim, DeepL.",Uso para checar trechos que estão me tomando muito tempo.,feminino,26 a 35 anos,branca,Brasil
"""Sou XXX e tradutor/a"".",de 5 a 10 anos,Sim,"Ensino de línguas, Ensino de tradução e/ou interpretação, Revisão e/ou copydesque, Professora universitária, consultoria linguística e produção de conteúdo",Mestrado,"Sim, fiz mestrado em tradução ou letras com ênfase em tradução., Sim, fiz doutorado em tradução ou letras com ênfase em tradução., Sim, fiz especialização (pós-graduação lato sensu) em tradução., Sim, fiz curso livre ou de extensão em tradução.",Sim,Sim,"ABRATES, ABRAPT, ATA",Sim,Sim,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução do exterior, Plataforma online de tradução (p.ex. ProZ)",português,inglês,Faço versão somente para o inglês.,Aproximadamente metade do tempo,"Aceito sempre ou quase sempre., Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês., Aceito porque paga melhor que a tradução para o português.","setor cultural, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.), audiovisual (legendagem, dublagem)",Menos da metade do tempo,"é contratada por você (ou seja, você paga do próprio bolso)., é nativo e não sabe português, corrige só a versão final em inglês","Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim, SDL Trados, Sim, Wordfast, Sim, MemoQ, Lilt, Memsource, Matecat, Smartcat","Sim, Google Tradutor., Sim, DeepL.","Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,,Doutorado,"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a com CNPJ.,Editora,português,inglês,Não faço versão.,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro.",Não uso.,Não.,,feminino,36 a 45 anos,branca,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Sim,,Ensino fundamental,Não fiz.,Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,Aposentado há dois anos. Tinha CNPJ.,"Agência de tradução brasileira, Agência de tradução do exterior",português,inglês,Faço versão somente para o inglês.,Aproximadamente metade do tempo,"Aceito se é uma área que já conheço., Nas minhas áreas de especialização, não tenho medo.","corporativos / business, jurídicos",Raramente ou nunca,,Concorda plenamente.,Discordo totalmente.,"Em tese, sim, mas estou aposentado.","Sim, Wordfast","Sim, Google Tradutor., Acoplei WFast com TA com excelentes resultados.","Uso/Já usei ao traduzir para a língua nativa., Não tive oportunidade de usar na tradução para L2",masculino,66 ou mais,branca,Brasil
"""Sou XXX e tradutor/a"".",de 3 a 5 anos,Não,Ensino de línguas,Mestrado,"Sim, fiz mestrado em tradução ou letras com ênfase em tradução.",Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Grupo do Facebook ou similar",português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito se é uma área que já conheço., Aceito porque gosto de fazer a tradução para o inglês.","acadêmicos - humanas e artes, acadêmicos - ciências e exatas, literário",Mais da metade do tempo,"é contratada por você (ou seja, você paga do próprio bolso).","Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse online (mesmo depois da pandemia).","Sim,  OmegaT","Sim, Google Tradutor., Sim, DeepL.",Uso para certos tipos de texto.,feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",até 1 ano,Sim,Revisão e/ou copydesque,Ensino superior.,Não fiz.,Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Agência de tradução brasileira",espanhol,português,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro.",cafetrans,"Sim, Google Tradutor.",Uso para checar trechos que tive dificuldade de entender.,masculino,46 a 55 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 10 a 15 anos,Não,Ensino de línguas,Mestrado,"Sim, fiz curso livre ou de extensão em tradução.",Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,Freelancer,Cliente direto,português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,"Aceito se o prazo estiver folgado., Aceito porque gosto de fazer a tradução para o inglês.","acadêmicos - humanas e artes, acadêmicos - ciências e exatas",Menos da metade do tempo,é brasileira que tem experiência na tradução para o inglês.,"Depende (nem concordo, nem discordo)",Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução.",Não uso.,"Sim, DeepL.",Uso para checar trechos que tive dificuldade de entender.,feminino,26 a 35 anos,parda,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,,Ensino superior.,"Sim, fiz bacharelado em tradução.",Não,Não,ABRATES,Sim,Sim,"tradutor/a autônomo/a com CNPJ., funcionário/a de uma empresa ou agência de tradução.","Agência de tradução brasileira, Agência de tradução do exterior",português,inglês,Não faço versão.,,,,,,,,"Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.","Sim, SDL Trados, Sim, MemoQ, XTM, Memsource",Não.,,feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",até 1 ano,Sim,,Ensino superior.,"Sim, fiz bacharelado em tradução.",Não,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Agência de tradução brasileira, Plataforma online (sem ser especializada em tradução), Grupo do Facebook ou similar",português,espanhol,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso fosse online (mesmo depois da pandemia).","Sim, Wordfast",Não.,Não uso Tradução automático,feminino,26 a 35 anos,prefiro não dizer,Brasil
"""Sou tradutor/a"".",mais de 20 anos,Não,,Pós-graduação lato sensu (especialização),"Sim, fiz especialização (pós-graduação lato sensu) em tradução.",Sim,Não,"Sintra, ABRATES",Sim,Sim,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Agência de tradução brasileira, Editora",português,espanhol,Faço versão para outro(s) idioma(s).,,,,,,,,"Sim, se o curso fosse presencial (depois da pandemia).","Sim, MemoQ","Sim, Google Tradutor.",Uso para checar trechos que tive dificuldade de entender.,feminino,56 a 65 anos,branca,Brasil
"""Sou tradutor/a e XXX"".",de 1 a 3 anos,Sim,Revisão e/ou copydesque,Ensino superior.,"Sim, fiz bacharelado em letras com discplina(s) de tradução.",Sim,Sim,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a sem CNPJ.,"Cliente direto, Plataforma online de tradução (p.ex. ProZ), Editora",português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,Aceito sempre ou quase sempre.,"setor cultural, acadêmicos - humanas e artes, literário",Sempre ou quase sempre,é nativa do inglês e conhece bem o português.,"Depende (nem concordo, nem discordo)","Depende (nem concordo, nem discordo).","Sim, se o curso fosse presencial (depois da pandemia)., Sim, se o curso não fosse muito caro.","Sim,  OmegaT","Sim, Google Tradutor.",Uso para checar trechos que tive dificuldade de entender.,feminino,26 a 35 anos,preta,Brasil
"""Sou tradutor/a e XXX"".",de 5 a 10 anos,Sim,"Revisão e/ou copydesque, Redação publicitária ",Ensino superior.,Não fiz.,Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Não,tradutor/a autônomo/a com CNPJ.,"Cliente direto, Agência de tradução do exterior, Editora",português,inglês,Não faço versão.,,,,,,,,Não tenho interesse em fazer curso de versão.,Não uso.,"Sim, Google Tradutor.","Uso/Já usei ao traduzir para a língua nativa., Uso para certos tipos de texto., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,branca,Brasil
"""Sou tradutor/a"".",de 5 a 10 anos,Sim,,Ensino superior.,Não fiz.,Não,Não,Não participo de nenhuma associação ou sindicato de tradutores.,Sim,Sim,tradutor/a autônomo/a com CNPJ.,Agência de tradução brasileira,português,inglês,Faço versão somente para o inglês.,Sempre ou quase sempre,Aceito sempre ou quase sempre.,"corporativos / business, setor produtivo (energia, indústria, agropecuária, etc.), jurídicos, setor cultural, informática e telecomunicações, acadêmicos - humanas e artes, acadêmicos - ciências e exatas, documentos oficiais (certidões, diplomas, históricos escolares, etc.)",Raramente ou nunca,trabalha na mesma empresa/agência que você.,Discordo totalmente.,Discordo totalmente.,"Sim, se o curso fosse online (mesmo depois da pandemia)., Sim, se o curso não fosse muito caro., Sim, se o treinamento em versão fizesse parte de um curso maior (não universitário) com foco em tradução., Sim, se o treinamento em versão fizesse parte de um curso de pós-graduação em tradução.","Sim, MemoQ",Não.,"Uso quando estou com pouco tempo., Uso para checar trechos que tive dificuldade de entender.",feminino,26 a 35 anos,branca,Brasil
